timestamp, pid, used_gpu_memory [MiB]
2025/07/05 19:51:30.526, 75621, 12 MiB
2025/07/05 19:51:32.527, 75621, 28586 MiB
2025/07/05 19:51:34.527, 75621, 28586 MiB
2025/07/05 19:51:36.528, 75621, 28586 MiB
2025/07/05 19:51:38.528, 75621, 28586 MiB
2025/07/05 19:51:40.529, 75621, 28586 MiB
2025/07/05 19:51:42.529, 75621, 28586 MiB
2025/07/05 19:51:44.530, 75621, 28586 MiB
2025/07/05 19:51:46.530, 75621, 28586 MiB
2025/07/05 19:51:48.531, 75621, 28586 MiB
2025/07/05 19:51:50.531, 75621, 28586 MiB
2025/07/05 19:51:52.532, 75621, 28586 MiB
2025/07/05 19:51:54.532, 75621, 28586 MiB
2025/07/05 19:51:56.533, 75621, 28586 MiB
2025/07/05 19:51:58.534, 75621, 28586 MiB
2025/07/05 19:52:00.534, 75621, 28586 MiB
2025/07/05 19:52:02.534, 75621, 28586 MiB
2025/07/05 19:52:04.535, 75621, 39420 MiB
2025/07/05 19:52:06.535, 75621, 41736 MiB
2025/07/05 19:52:08.536, 75621, 61948 MiB
2025/07/05 19:52:10.536, 75621, 61952 MiB
2025/07/05 19:52:12.537, 75621, 61952 MiB
2025/07/05 19:52:14.537, 75621, 75860 MiB
2025/07/05 19:52:16.538, 75621, 75860 MiB
2025/07/05 19:52:18.541, 75621, 56516 MiB
2025/07/05 19:52:20.817, 75621, 56518 MiB
2025/07/05 19:52:22.817, 75621, 56518 MiB
2025/07/05 19:52:24.818, 75621, 71152 MiB
2025/07/05 19:52:26.818, 75621, 71152 MiB
2025/07/05 19:52:28.819, 75621, 57970 MiB
2025/07/05 19:52:30.819, 75621, 57972 MiB
2025/07/05 19:52:32.820, 75621, 57972 MiB
2025/07/05 19:52:34.820, 75621, 57972 MiB
2025/07/05 19:52:36.821, 75621, 57972 MiB
2025/07/05 19:52:38.821, 75621, 57972 MiB
2025/07/05 19:52:40.821, 75621, 73058 MiB
2025/07/05 19:52:42.822, 75621, 73058 MiB
2025/07/05 19:52:44.822, 75621, 73058 MiB
2025/07/05 19:52:46.823, 75621, 58874 MiB
2025/07/05 19:52:48.823, 75621, 58874 MiB
2025/07/05 19:52:50.824, 75621, 58874 MiB
2025/07/05 19:52:52.824, 75621, 58874 MiB
2025/07/05 19:52:54.825, 75621, 58874 MiB
2025/07/05 19:52:56.825, 75621, 58874 MiB
2025/07/05 19:52:58.826, 75621, 58874 MiB
2025/07/05 19:53:00.826, 75621, 58874 MiB
2025/07/05 19:53:02.827, 75621, 58874 MiB
2025/07/05 19:53:04.827, 75621, 58874 MiB
2025/07/05 19:53:06.828, 75621, 58874 MiB
2025/07/05 19:53:08.828, 75621, 58874 MiB
2025/07/05 19:53:10.829, 75621, 58874 MiB
2025/07/05 19:53:12.829, 75621, 76982 MiB
2025/07/05 19:53:14.830, 75621, 76982 MiB
2025/07/05 19:53:16.830, 75621, 76982 MiB
2025/07/05 19:53:18.831, 75621, 64918 MiB
2025/07/05 19:53:20.831, 75621, 64918 MiB
2025/07/05 19:53:22.832, 75621, 64918 MiB
2025/07/05 19:53:24.832, 75621, 64918 MiB
2025/07/05 19:53:26.833, 75621, 64918 MiB
2025/07/05 19:53:28.833, 75621, 64920 MiB
2025/07/05 19:53:30.834, 75621, 64920 MiB
2025/07/05 19:53:32.834, 75621, 64920 MiB
2025/07/05 19:53:34.834, 75621, 64920 MiB
2025/07/05 19:53:36.835, 75621, 64920 MiB
2025/07/05 19:53:38.835, 75621, 64920 MiB
2025/07/05 19:53:40.836, 75621, 64920 MiB
2025/07/05 19:53:42.836, 75621, 64920 MiB
2025/07/05 19:53:44.837, 75621, 64920 MiB
2025/07/05 19:53:46.837, 75621, 64920 MiB
2025/07/05 19:53:48.838, 75621, 64920 MiB
